Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
Ju a I 4									0.000	0	0	0.0		0		0	0.000		22	21	0	1	z a I 4, T a I 4, Ku a I 4, t a I 4, m a I 4, xu a I 4, P a I 4, ku a I 4, u a I 4, s a I 4, x a I 4, c a I 4, p a I 4, k a I 4, Su a I 4, n a I 4, l a I 4, Zu a I 4, S a I 4, Z a I 4, Cu a I 4, a I 4	730171
ku a I 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	ku a I 4, ku a I 1, ku a I 3	5981
Ku a I 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	Ku a I 4	62891
Ku a I 1									0.000	0	0	0.0		0		0	0.000		20	18	0	2	Ku a I 4, k a I 1, K a I 1, x a I 1, t a I 1, P a I 1, c a I 1, Su a I 1, ku a I 1, C a I 1, u a I 1, Ku a n 1, z a I 1, T a I 1, Ku e I 1, p a I 1, s a I 1, Ku a N 1, a I 1, Ku a 1	184551
Ku a I 2									0.000	0	0	0.0		0		0	0.000		14	13	0	1	l a I 2, Ku a I 4, c a I 2, T a I 2, P a I 2, p a I 2, Ku a N 2, m a I 2, xu a I 2, x a I 2, Z a I 2, C a I 2, Ku e I 2, a I 2	302303
lu a I 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
lu a I 1									0.000	0	0	0.0		0		0	0.000		15	14	0	1	k a I 1, K a I 1, x a I 1, t a I 1, P a I 1, c a I 1, Su a I 1, ku a I 1, C a I 1, u a I 1, z a I 1, T a I 1, p a I 1, s a I 1, a I 1	120725
lu a I 2									0.000	0	0	0.0		0		0	0.000		11	10	0	1	l a I 2, c a I 2, T a I 2, P a I 2, p a I 2, m a I 2, xu a I 2, x a I 2, Z a I 2, C a I 2, a I 2	237471
lu a I 3									0.000	0	0	0.0		0		0	0.000		15	14	0	1	m a I 3, p a I 3, k a I 3, x a I 3, c a I 3, Su a I 3, n a I 3, z a I 3, K a I 3, ku a I 3, lu a n 3, Z a I 3, Cu a I 3, t a I 3, a I 3	28435
lu a I 4									0.000	0	0	0.0		0		0	0.000		23	22	0	1	z a I 4, T a I 4, Ku a I 4, t a I 4, m a I 4, xu a I 4, P a I 4, ku a I 4, u a I 4, lu a n 4, s a I 4, x a I 4, c a I 4, p a I 4, k a I 4, Su a I 4, n a I 4, l a I 4, Zu a I 4, S a I 4, Z a I 4, Cu a I 4, a I 4	733503
mu a I 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
