Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
c a									0.000	0	0	0.0		0		0	0.000		31	30	0	1	T a, p a, m a, n a, t a, c 1, c oN, c aI, S a, l a, i a, C a, u a, f a, P a, x a, c aU, c aN, z a, K a, Z a, s a, c an, c un, c @N, c @, c u, c oU, a a, k a, a	2070953
C a									0.000	0	0	0.0		0		0	0.000		37	31	5	1	T a, p a, m a, n a, t a, C u, S a, C 1, C @, l a, C aN, C @N, i a, u a, f a, C oN, P a, C aU, C oU, x a, z a, C un, K a, Z a, s a, C @n, c a, C an, C aI, a a, k a, C a i, C a an, an C a, y C a, u C a, a	2071300
c aI									0.000	0	0	0.0		0		0	0.000		33	28	4	1	z aI, l aI, T aI, c 1, t aI, c oN, k aI, x aI, K aI, m aI, P aI, p aI, c aU, c aN, u aI, s aI, c an, c un, c @N, n aI, c a, c @, C aI, Z aI, c u, S aI, c oU, @n aI, c aI u, c 1 aI, c aI i, yn c aI, aI	1111756
C aI									0.000	0	0	0.0		0		0	0.000		33	29	3	1	z aI, l aI, T aI, C u, t aI, c aI, k aI, C 1, x aI, K aI, C @, m aI, C aN, C @N, P aI, C a, C oN, C aU, p aI, C oU, u aI, C un, s aI, C @n, n aI, C an, Z aI, S aI, @n aI, C u aI, C oN aI, C @n aI, aI	1227413
c an									0.000	0	0	0.0		0		0	0.000		39	31	7	1	K an, t an, c 1, c oN, c aI, u an, p an, T an, s an, n an, k an, Z an, f an, S an, m an, l an, c aU, c aN, x an, P an, c un, c @N, c a, C an, z an, c @, r an, c u, c oU, i an, in an, c an y, u c an, c 1 an, c u an, c an in, c an an, c aU an, an	556130
c aN									0.000	0	0	0.0		0		0	0.000		34	30	3	1	r aN, S aN, c 1, p aN, c oN, c aI, t aN, Z aN, f aN, C aN, u aN, k aN, m aN, T aN, i aN, c aU, l aN, c an, P aN, c un, c @N, z aN, c a, c @, K aN, c u, s aN, x aN, c oU, n aN, in c aN, c aN iN, an c aN, aN	630389
C an									0.000	0	0	0.0		0		0	0.000		37	32	4	1	K an, t an, C u, u an, C 1, C @, p an, C aN, C @N, T an, s an, n an, k an, Z an, C a, f an, C oN, S an, m an, C aU, l an, C oU, C un, x an, P an, c an, C @n, z an, r an, C aI, i an, in an, C u an, i C an, C an u, C a an, an	598581
C aN									0.000	0	0	0.0		0		0	0.000		39	31	7	1	r aN, S aN, p aN, C u, t aN, C 1, Z aN, C @, f aN, C @N, u aN, C a, k aN, C oN, m aN, T aN, C aU, i aN, C oU, c aN, C un, l aN, P aN, C @n, z aN, C an, C aI, K aN, s aN, x aN, n aN, C u aN, i C aN, C aN iN, u C aN, C aN i, C aN in, y C aN, aN	629369
c ar									0.000	0	0	0.0		0		0	0.000		12	12	0	0	c 1, c oN, c aI, c aU, c aN, c an, c un, c @N, c a, c @, c u, c oU	170859
C ar									0.000	0	0	0.0		0		0	0.000		13	13	0	0	C u, C 1, C @, C aN, C @N, C a, C oN, C aU, C oU, C un, C @n, C an, C aI	193922
c aU									0.000	0	0	0.0		0		0	0.000		30	28	1	1	x aU, i aU, t aU, c 1, Z aU, c oN, c aI, k aU, z aU, l aU, P aU, p aU, S aU, K aU, T aU, C aU, m aU, c aN, n aU, c an, c un, c @N, c a, r aU, c @, s aU, c u, c oU, c aU an, aU	1155221
C aU									0.000	0	0	0.0		0		0	0.000		30	29	0	1	x aU, i aU, t aU, Z aU, C u, C 1, k aU, C @, C aN, z aU, l aU, C @N, P aU, C a, p aU, S aU, C oN, K aU, T aU, m aU, C oU, c aU, C un, n aU, C @n, C an, r aU, C aI, s aU, aU	1172539
c E									0.000	0	0	0.0		0		0	0.000		14	14	0	0	i E, c 1, c oN, c aI, y E, c aU, c aN, c an, c un, c @N, c a, c @, c u, c oU	334879
C E									0.000	0	0	0.0		0		0	0.000		15	15	0	0	i E, C u, C 1, C @, y E, C aN, C @N, C a, C oN, C aU, C oU, C un, C @n, C an, C aI	357942
c eI									0.000	0	0	0.0		0		0	0.000		26	24	1	1	m eI, k eI, t eI, u eI, p eI, c 1, S eI, c oN, c aI, x eI, f eI, l eI, n eI, P eI, c aU, c aN, c an, c un, c @N, c a, c @, z eI, c u, c oU, c u eI, eI	866416
C eI									0.000	0	0	0.0		0		0	0.000		27	25	1	1	m eI, k eI, t eI, u eI, p eI, S eI, C u, x eI, C 1, C @, C aN, C @N, C a, f eI, C oN, l eI, C aU, n eI, C oU, P eI, C un, C @n, C an, C aI, z eI, C u eI, eI	890975
c En									0.000	0	0	0.0		0		0	0.000		14	14	0	0	c 1, c oN, c aI, y En, i En, c aU, c aN, c an, c un, c @N, c a, c @, c u, c oU	205190
C En									0.000	0	0	0.0		0		0	0.000		15	15	0	0	C u, C 1, C @, y En, C aN, C @N, C a, i En, C oN, C aU, C oU, C un, C @n, C an, C aI	228253
c i									0.000	0	0	0.0		0		0	0.000		33	30	2	1	n i, l i, J i, c 1, c oN, c aI, Q i, p i, t i, X i, T i, m i, P i, @r i, i i, c aU, c aN, c an, c un, c @N, c a, c @, u i, a i, c u, c oU, @ i, y i, aI i, an i, c aI i, c @ i, i	2052296
C i									0.000	0	0	0.0		0		0	0.000		39	31	7	1	n i, l i, J i, C u, Q i, p i, t i, C 1, C @, C aN, C @N, X i, T i, C a, C oN, m i, P i, C aU, C oU, @r i, i i, C un, C @n, C an, u i, C aI, a i, @ i, y i, aI i, an i, C @n i, C @N i, C a i, C aN i, C u i, C 1 i, C un i, i	2076097
