Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
l @									0.000	0	0	0.0		0		0	0.000		23	18	4	1	t @, Z @, k @, l i, n @, K @, C @, l a, x @, l u, S @, r @, T @, s @, l y, z @, c @, y @, l @ N, l @ i, y l @, l @ y, @	2528610
l @ n									0.000	0	0	0.0		0		0	0.000		24	21	1	2	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, S @ n, p @ n, l a n, l u n, l @ N, K @ n, C @ n, l @ i, l i n, z @ n, P @ n, s @ n, n @ n, l @ y, l @ a n, @ n, l @	761995
l @ N									0.000	0	0	0.0		0		0	0.000		24	23	0	1	n @ N, t @ N, Z @ N, l i N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l a N, l o N, c @ N, l @ i, x @ N, p @ N, K @ N, l @ y, k @ N, u @ N, s @ N, l @	340846
l @ r									0.000	0	0	0.0		0		0	0.000		8	5	1	2	l @ N, l @ i, y @ r, l @ y, i @ r, l i @ r, @ r, l @	62140
l a									0.000	0	0	0.0		0		0	0.000		38	31	6	1	T a, p a, m a, n a, t a, l i, Xi a, xu a, Ji a, S a, i a, C a, u a, f a, l u, Zu a, P a, x a, ku a, z a, K a, Z a, s a, l @, Su a, l y, c a, Ku a, Qi a, a a, k a, l a I, l a U, l a n, l a N, a l a, u l a, a	2366003
l a I									0.000	0	0	0.0		0		0	0.000		31	26	3	2	z a I, T a I, Ku a I, t a I, c a I, k a I, x a I, K a I, m a I, l a U, P a I, l e I, xu a I, l a n, p a I, ku a I, u a I, Su a I, l a N, s a I, n a I, C a I, Z a I, S a I, Zu a I, Cu a I, i l a I, u l a I, l a I i, a I, l a	993490
l a n									0.000	0	0	0.0		0		0	0.000		42	38	2	2	l a I, xu a n, K a n, t a n, u a n, p a n, Cu a n, l a U, T a n, ku a n, s a n, n a n, k a n, Z a n, su a n, f a n, tu a n, S a n, m a n, Zu a n, x a n, l u n, lu a n, P a n, l a N, c a n, l i n, C a n, z a n, r a n, Tu a n, Ku a n, zu a n, ru a n, nu a n, Su a n, i a n, cu a n, l i a n, l @ a n, l a, a n	835626
l a N									0.000	0	0	0.0		0		0	0.000		40	36	2	2	Xi a N, l a I, r a N, S a N, li a N, p a N, Ji a N, t a N, Z a N, f a N, C a N, Qi a N, l i N, l a U, u a N, k a N, Zu a N, m a N, Cu a N, T a N, i a N, l a n, Su a N, c a N, ku a N, l @ N, Ku a N, xu a N, P a N, ni a N, l o N, z a N, K a N, s a N, x a N, n a N, i l a N, l i a N, l a, a N	1164060
l a r									0.000	0	0	0.0		0		0	0.000		5	4	0	1	l a I, l a U, l a n, l a N, l a	239661
l a U									0.000	0	0	0.0		0		0	0.000		35	31	2	2	li a U, x a U, i a U, l a I, t a U, Z a U, Ji a U, Xi a U, k a U, Ti a U, z a U, ti a U, P a U, p a U, S a U, Qi a U, K a U, T a U, C a U, l a n, m a U, l o U, c a U, mi a U, Pi a U, ni a U, n a U, l a N, pi a U, r a U, s a U, l a U y, l a U u, l a, a U	2311432
l E									0.000	0	0	0.0		0		0	0.000		22	22	0	0	i E, l i, pi E, Xi E, Ji E, l a, y E, Qy E, l u, Xy E, Qi E, l @, Jy E, l y, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E	463326
l e I									0.000	0	0	0.0		0		0	0.000		27	24	2	1	xu e I, l a I, m e I, tu e I, k e I, t e I, u e I, p e I, zu e I, S e I, x e I, Su e I, su e I, f e I, Tu e I, ku e I, n e I, P e I, Zu e I, Cu e I, ru e I, cu e I, z e I, Ku e I, y l e I, i l e I, e I	1434298
l E n									0.000	0	0	0.0		0		0	0.000		18	18	0	0	Qi E n, ti E n, Ji E n, Ti E n, ni E n, Xi E n, y E n, pi E n, li E n, Qy E n, Pi E n, i E n, Xy E n, l a n, mi E n, l u n, Jy E n, l i n	494430
li @									0.000	0	0	0.0		0		0	0.000		17	16	0	1	t @, Z @, k @, n @, K @, C @, x @, S @, r @, T @, s @, l @, z @, li E, c @, y @, @	2410759
li @ n									0.000	0	0	0.0		0		0	0.000		17	16	0	1	x @ n, r @ n, Z @ n, k @ n, m @ n, u @ n, f @ n, li E n, S @ n, p @ n, K @ n, C @ n, z @ n, P @ n, s @ n, n @ n, @ n	758616
li @ N									0.000	0	0	0.0		0		0	0.000		20	20	0	0	n @ N, li a N, t @ N, Z @ N, C @ N, S @ N, f @ N, r @ N, m @ N, z @ N, P @ N, T @ N, l @ N, c @ N, x @ N, p @ N, K @ N, k @ N, u @ N, s @ N	369189
li @ r									0.000	0	0	0.0		0		0	0.000		3	2	0	1	y @ r, i @ r, @ r	55049
li a									0.000	0	0	0.0		0		0	0.000		32	29	2	1	T a, p a, m a, n a, t a, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, li E, c a, Ku a, Qi a, a a, k a, li a U, li a N, a	3082718
