Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
x ian									0.000	0	0	0.0		0		0	0.000		11	11	0	0	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, x uaI, x a, x u	1020711
x iaN									0.000	0	0	0.0		0		0	0.000		11	11	0	0	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, x uaI, x a, x u	1020711
X ian									0.000	0	0	0.0		0		0	0.000		7	7	0	0	X ia, X iE, X iaU, X i, X yE, X ioU, X y	182993
X iaN									0.000	0	0	0.0		0		0	0.000		7	7	0	0	X ia, X iE, X iaU, X i, X yE, X ioU, X y	182993
x iar									0.000	0	0	0.0		0		0	0.000		11	11	0	0	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, x uaI, x a, x u	1020711
X iar									0.000	0	0	0.0		0		0	0.000		7	7	0	0	X ia, X iE, X iaU, X i, X yE, X ioU, X y	182993
x iaU									0.000	0	0	0.0		0		0	0.000		27	24	2	1	l iaU, x aU, x ueI, x uo, x ua, J iaU, x eI, X iaU, x aI, x oU, T iaU, x @, t iaU, Q iaU, x uaI, x a, x u, m iaU, P iaU, n iaU, p iaU, aI iaU, i iaU, iaU iaU, x aI iaU, x uo iaU, iaU	2424841
X iaU									0.000	0	0	0.0		0		0	0.000		34	18	15	1	l iaU, X ia, J iaU, X iE, T iaU, t iaU, X i, Q iaU, X yE, X ioU, X y, m iaU, P iaU, n iaU, p iaU, aI iaU, i iaU, iaU iaU, X y iaU, ioU X iaU, ueI X iaU, X iaU u, u X iaU, X ia iaU, X iaU ioU, X iaU iaU, iE X iaU, iaU X iaU, X iaU @r, aI X iaU, X iaU y, X iE iaU, X iaU i, iaU	1543912
x iE									0.000	0	0	0.0		0		0	0.000		27	25	1	1	x aU, x ueI, x uo, p iE, x ua, X iE, x eI, x aI, J iE, x oU, x @, x uaI, x a, x u, Q iE, T iE, l iE, iE iE, t iE, u iE, m iE, n iE, P iE, aU iE, yE iE, x eI iE, iE	1320035
X iE									0.000	0	0	0.0		0		0	0.000		32	19	12	1	p iE, X ia, X iaU, J iE, X i, X yE, X ioU, X y, Q iE, T iE, l iE, iE iE, t iE, u iE, m iE, n iE, P iE, aU iE, yE iE, X iE n, i X iE, ioU X iE, ueI X iE, X iE @, X iE i, X iE iE, X iE ia, X yE iE, iaU X iE, X iE iaU, uaI X iE, iE	448733
x iEn									0.000	0	0	0.0		0		0	0.000		11	11	0	0	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, x uaI, x a, x u	1020711
X iEn									0.000	0	0	0.0		0		0	0.000		7	7	0	0	X ia, X iE, X iaU, X i, X yE, X ioU, X y	182993
x in									0.000	0	0	0.0		0		0	0.000		11	11	0	0	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, x uaI, x a, x u	1020711
x iN									0.000	0	0	0.0		0		0	0.000		11	11	0	0	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, x uaI, x a, x u	1020711
X in									0.000	0	0	0.0		0		0	0.000		7	7	0	0	X ia, X iE, X iaU, X i, X yE, X ioU, X y	182993
X iN									0.000	0	0	0.0		0		0	0.000		7	7	0	0	X ia, X iE, X iaU, X i, X yE, X ioU, X y	182993
x ion									0.000	0	0	0.0		0		0	0.000		11	11	0	0	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, x uaI, x a, x u	1020711
x ioN									0.000	0	0	0.0		0		0	0.000		11	11	0	0	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, x uaI, x a, x u	1020711
X ion									0.000	0	0	0.0		0		0	0.000		7	7	0	0	X ia, X iE, X iaU, X i, X yE, X ioU, X y	182993
X ioN									0.000	0	0	0.0		0		0	0.000		7	7	0	0	X ia, X iE, X iaU, X i, X yE, X ioU, X y	182993
x ioU									0.000	0	0	0.0		0		0	0.000		25	20	4	1	x aU, x ueI, J ioU, x uo, x ua, x eI, x aI, x oU, x @, Q ioU, l ioU, x uaI, X ioU, x a, x u, t ioU, n ioU, ueI ioU, m ioU, uo ioU, x aI ioU, x aU ioU, x u ioU, x uaI ioU, ioU	1744275
X ioU									0.000	0	0	0.0		0		0	0.000		23	14	8	1	J ioU, X ia, X iE, X iaU, Q ioU, l ioU, X i, X yE, X y, t ioU, n ioU, ueI ioU, m ioU, uo ioU, ioU X ioU, ueI X ioU, X i ioU, X iaU ioU, u X ioU, X ioU ia, X ioU u, X ia ioU, ioU	859987
x on									0.000	0	0	0.0		0		0	0.000		11	11	0	0	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, x uaI, x a, x u	1020711
x oN									0.000	0	0	0.0		0		0	0.000		11	11	0	0	x aU, x ueI, x uo, x ua, x eI, x aI, x oU, x @, x uaI, x a, x u	1020711
X on									0.000	0	0	0.0		0		0	0.000		7	7	0	0	X ia, X iE, X iaU, X i, X yE, X ioU, X y	182993
X oN									0.000	0	0	0.0		0		0	0.000		7	7	0	0	X ia, X iE, X iaU, X i, X yE, X ioU, X y	182993
x oU									0.000	0	0	0.0		0		0	0.000		33	26	6	1	x aU, x ueI, t oU, x uo, z oU, x ua, x eI, S oU, x aI, k oU, T oU, x @, Z oU, x uaI, C oU, x a, K oU, l oU, x u, m oU, r oU, s oU, c oU, f oU, oU oU, P oU, i x oU, x oU ueI, x oU i, x aI oU, u x oU, @r x oU, oU	1476306
X oU									0.000	0	0	0.0		0		0	0.000		25	24	0	1	t oU, z oU, X ia, X iE, X iaU, S oU, k oU, x oU, T oU, X i, Z oU, X yE, C oU, X ioU, X y, K oU, l oU, m oU, r oU, s oU, c oU, f oU, oU oU, P oU, oU	676930
x u									0.000	0	0	0.0		0		0	0.000		46	33	12	1	p u, x aU, x ueI, x uo, x ua, C u, x eI, Z u, x aI, x oU, x @, S u, f u, t u, l u, K u, r u, x uaI, z u, k u, T u, x a, m u, s u, P u, iaU u, i u, n u, c u, iE u, ioU u, u u, ueI u, x u n, x aU u, ueI x u, x uo u, x ueI u, x u ueI, x u uaI, i x u, x u ioU, u x u, aI x u, x @ u, u	1949996
X u									0.000	0	0	0.0		0		0	0.000		36	31	4	1	p u, X ia, C u, X iE, X iaU, Z u, S u, f u, X i, t u, l u, K u, r u, X yE, z u, X ioU, k u, X y, T u, x u, m u, s u, P u, iaU u, i u, n u, c u, iE u, ioU u, u u, ueI u, X ia u, X iaU u, X y u, X ioU u, u	1115380
x ua									0.000	0	0	0.0		0		0	0.000		24	15	8	1	x aU, x ueI, x uo, x eI, x aI, x oU, x @, x uaI, Z ua, x a, k ua, x u, S ua, K ua, ua ua, x ua n, x ua N, @ x ua, ioU x ua, x ua y, x ua @r, x ua ueI, i x ua, ua	1136527
X ua									0.000	0	0	0.0		0		0	0.000		15	13	1	1	X ia, x ua, X iE, X iaU, X i, Z ua, X yE, X ioU, X y, k ua, S ua, K ua, ua ua, X ia ua, ua	269442
