Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
J a									0.000	0	0	0.0		0		0	0.000		34	33	0	1	T a, p a, m a, n a, t a, J i, Xi a, xu a, J iN, Ji a, S a, J in, l a, J y, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, J yn, Su a, c a, Ku a, Qi a, a a, k a, a	2237901
J aI									0.000	0	0	0.0		0		0	0.000		31	29	1	1	z aI, l aI, T aI, Ku aI, J i, t aI, c aI, J iN, k aI, J in, x aI, K aI, m aI, J y, P aI, xu aI, p aI, ku aI, u aI, Su aI, J yn, s aI, n aI, C aI, Z aI, S aI, Zu aI, Cu aI, @n aI, J iN aI, aI	1277656
J an									0.000	0	0	0.0		0		0	0.000		42	40	1	1	xu an, K an, t an, J i, J iN, u an, J in, p an, Cu an, T an, J y, ku an, s an, n an, k an, Z an, su an, f an, tu an, S an, m an, Zu an, l an, x an, lu an, P an, J yn, c an, C an, z an, r an, Tu an, Ku an, zu an, ru an, nu an, Su an, i an, cu an, in an, J i an, an	765638
J aN									0.000	0	0	0.0		0		0	0.000		37	36	0	1	Xi aN, r aN, S aN, J i, li aN, p aN, J iN, Ji aN, J in, t aN, Z aN, f aN, C aN, Qi aN, J y, u aN, k aN, Zu aN, m aN, Cu aN, T aN, i aN, Su aN, c aN, ku aN, l aN, J yn, Ku aN, xu aN, P aN, ni aN, z aN, K aN, s aN, x aN, n aN, aN	1066412
J ar									0.000	0	0	0.0		0		0	0.000		5	5	0	0	J i, J iN, J in, J y, J yn	160700
J aU									0.000	0	0	0.0		0		0	0.000		34	33	0	1	li aU, x aU, i aU, t aU, J i, Z aU, Ji aU, J iN, Xi aU, J in, k aU, Ti aU, z aU, ti aU, l aU, J y, P aU, p aU, S aU, Qi aU, K aU, T aU, C aU, m aU, c aU, mi aU, Pi aU, ni aU, n aU, J yn, pi aU, r aU, s aU, aU	2265670
J E									0.000	0	0	0.0		0		0	0.000		22	22	0	0	i E, pi E, J i, Xi E, J iN, J in, Ji E, y E, J y, Qy E, Xy E, Qi E, J yn, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E	504228
J eI									0.000	0	0	0.0		0		0	0.000		30	29	0	1	xu eI, m eI, tu eI, k eI, t eI, u eI, p eI, J i, zu eI, S eI, x eI, J iN, J in, J y, Su eI, su eI, f eI, l eI, Tu eI, ku eI, n eI, P eI, Zu eI, J yn, Cu eI, ru eI, cu eI, z eI, Ku eI, eI	1416434
J En									0.000	0	0	0.0		0		0	0.000		20	20	0	0	Qi En, ti En, Ji En, J i, Ti En, J iN, ni En, J in, Xi En, y En, pi En, J y, li En, Qy En, Pi En, i En, Xy En, mi En, J yn, Jy En	642857
J i									0.000	0	0	0.0		0		0	0.000		38	21	16	1	n i, l i, J iN, Q i, p i, t i, J in, J y, X i, T i, m i, P i, @r i, i i, J yn, u i, a i, @ i, y i, aI i, an i, i J i, J i i, J i y, J i in, aI J i, @r J i, y J i, J iN i, J i @, iN J i, in J i, an J i, u J i, yn J i, J yn i, J i an, i	1928031
Ji @									0.000	0	0	0.0		0		0	0.000		24	23	0	1	t @, Ji oU, Z @, k @, n @, Ji En, K @, Ji aU, Ji a, Ji aN, Ji E, C @, x @, S @, r @, T @, s @, l @, z @, c @, aI @, Ji oN, y @, @	2932984
Ji @n									0.000	0	0	0.0		0		0	0.000		23	22	0	1	Ji oU, x @n, r @n, Z @n, k @n, Ji En, Ji aU, m @n, Ji a, Ji aN, u @n, Ji E, f @n, S @n, p @n, K @n, C @n, z @n, P @n, s @n, n @n, Ji oN, @n	1266579
Ji @N									0.000	0	0	0.0		0		0	0.000		26	26	0	0	Ji oU, n @N, Ji En, Ji aU, Ji a, t @N, Ji aN, Z @N, Ji E, C @N, S @N, f @N, r @N, m @N, z @N, P @N, T @N, l @N, c @N, x @N, p @N, K @N, k @N, u @N, Ji oN, s @N	838653
Ji @r									0.000	0	0	0.0		0		0	0.000		14	12	1	1	Ji oU, Ji En, Ji aU, Ji a, Ji aN, Ji E, iN @r, oU @r, y @r, in @r, i @r, Ji oN, Ji aU @r, @r	581100
Ji a									0.000	0	0	0.0		0		0	0.000		40	33	6	1	T a, p a, Ji oU, m a, n a, t a, Ji En, Xi a, xu a, Ji aU, Ji aN, S a, Ji E, l a, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, Ji oN, i Ji a, Ji a u, Ji a y, Ji a i, u Ji a, an Ji a, a	2516534
Ji an									0.000	0	0	0.0		0		0	0.000		45	42	2	1	Ji oU, xu an, K an, t an, Ji En, Ji aU, Ji a, u an, Ji aN, Ji E, p an, Cu an, T an, ku an, s an, n an, k an, Z an, su an, f an, tu an, S an, m an, Zu an, l an, x an, lu an, P an, c an, C an, z an, r an, Tu an, Ku an, zu an, ru an, nu an, Su an, i an, cu an, in an, Ji oN, Ji E an, Ji oU an, an	1129167
Ji aN									0.000	0	0	0.0		0		0	0.000		39	36	2	1	Ji oU, Xi aN, r aN, S aN, Ji En, li aN, p aN, Ji aU, Ji a, t aN, Ji E, Z aN, f aN, C aN, Qi aN, u aN, k aN, Zu aN, m aN, Cu aN, T aN, i aN, Su aN, c aN, ku aN, l aN, Ku aN, xu aN, P aN, ni aN, z aN, K aN, s aN, x aN, n aN, Ji oN, Ji aN iN, Ji aN y, aN	1359919
Ji ar									0.000	0	0	0.0		0		0	0.000		7	7	0	0	Ji oU, Ji En, Ji aU, Ji a, Ji aN, Ji E, Ji oN	523872
Ji aU									0.000	0	0	0.0		0		0	0.000		43	33	9	1	li aU, x aU, Ji oU, i aU, t aU, Ji En, Z aU, Xi aU, Ji a, Ji aN, Ji E, k aU, Ti aU, z aU, ti aU, l aU, P aU, p aU, S aU, Qi aU, K aU, T aU, C aU, m aU, c aU, mi aU, Pi aU, ni aU, n aU, pi aU, r aU, s aU, Ji oN, Ji aU i, Ji aU aU, Ji aU y, i Ji aU, Ji aU in, Ji En aU, an Ji aU, Ji aU @r, u Ji aU, aU	2532205
Ji E									0.000	0	0	0.0		0		0	0.000		31	22	9	0	Ji oU, i E, pi E, Ji En, Ji aU, Xi E, Ji a, Ji aN, y E, Qy E, Xy E, Qi E, Jy E, Ti E, li E, ti E, mi E, ni E, ly E, ny E, Pi E, Ji oN, Ji E i, iN Ji E, u Ji E, Ji E an, Ji E aI, Ji E y, in Ji E, Ji E iN, an Ji E	816568
Ji En									0.000	0	0	0.0		0		0	0.000		30	20	10	0	Ji oU, Qi En, ti En, Ti En, Ji aU, Ji a, Ji aN, ni En, Ji E, Xi En, y En, pi En, li En, Qy En, Pi En, i En, Xy En, mi En, Jy En, Ji oN, Ji En y, Ji En i, i Ji En, an Ji En, y Ji En, Ji En aU, in Ji En, Ji En iN, u Ji En, iN Ji En	891951
J in									0.000	0	0	0.0		0		0	0.000		24	13	10	1	J i, J iN, X in, J y, n in, Q in, J yn, P in, l in, m in, p in, y in, iN in, J i in, J in u, J in @r, J in y, u J in, J in @, y J in, in J in, @r J in, J iN in, in	196994
J iN									0.000	0	0	0.0		0		0	0.000		28	16	11	1	T iN, J i, X iN, Q iN, J in, p iN, l iN, J y, m iN, t iN, P iN, J yn, n iN, in iN, yn iN, an iN, i J iN, an J iN, J iN iN, in J iN, J iN i, J iN y, y J iN, J iN u, J iN aI, J yn iN, J iN in, iN	426271
Ji on									0.000	0	0	0.0		0		0	0.000		7	7	0	0	Ji oU, Ji En, Ji aU, Ji a, Ji aN, Ji E, Ji oN	523872
Ji oN									0.000	0	0	0.0		0		0	0.000		22	22	0	0	Ji oU, Ji En, Z oN, i oN, Ji aU, c oN, Ji a, Ji aN, Ji E, t oN, s oN, n oN, T oN, z oN, C oN, k oN, K oN, x oN, Xi oN, l oN, r oN, Qi oN	781018
Ji oU									0.000	0	0	0.0		0		0	0.000		36	30	5	1	i oU, t oU, z oU, Ji En, Ji aU, Ji a, Ji aN, S oU, Ji E, k oU, x oU, T oU, Qi oU, li oU, Z oU, C oU, Xi oU, K oU, l oU, ti oU, ni oU, m oU, r oU, s oU, c oU, f oU, oU oU, mi oU, Ji oN, P oU, i Ji oU, iN Ji oU, in Ji oU, Ji oU i, Ji oU an, oU	1103221
J on									0.000	0	0	0.0		0		0	0.000		5	5	0	0	J i, J iN, J in, J y, J yn	160700
J oN									0.000	0	0	0.0		0		0	0.000		22	22	0	0	J i, Z oN, i oN, c oN, J iN, J in, t oN, J y, s oN, n oN, T oN, z oN, C oN, k oN, K oN, x oN, Xi oN, J yn, l oN, r oN, Qi oN, Ji oN	417944
J oU									0.000	0	0	0.0		0		0	0.000		31	30	0	1	i oU, Ji oU, t oU, z oU, J i, J iN, S oU, J in, k oU, x oU, T oU, J y, Qi oU, li oU, Z oU, C oU, Xi oU, K oU, l oU, ti oU, ni oU, m oU, r oU, J yn, s oU, c oU, f oU, oU oU, mi oU, P oU, oU	1341629
J u									0.000	0	0	0.0		0		0	0.000		29	26	2	1	p u, J i, C u, J iN, J in, Z u, S u, J y, f u, t u, l u, K u, r u, z u, k u, T u, x u, m u, J yn, s u, P u, i u, n u, c u, iN u, u u, J in u, J iN u, u	1088349
Ju a									0.000	0	0	0.0		0		0	0.000		29	28	0	1	T a, p a, m a, n a, t a, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, a	2077201
Ju aI									0.000	0	0	0.0		0		0	0.000		25	24	0	1	z aI, l aI, T aI, Ku aI, t aI, c aI, k aI, x aI, K aI, m aI, P aI, xu aI, p aI, ku aI, u aI, Su aI, s aI, n aI, C aI, Z aI, S aI, Zu aI, Cu aI, @n aI, aI	1116866
k oU									0.000	0	0	0.0		0		0	0.000		41	36	4	1	i oU, Ji oU, k @, t oU, k eI, z oU, k @n, k aI, S oU, k aU, x oU, T oU, Qi oU, li oU, k an, k aN, Z oU, C oU, Xi oU, k u, k oN, K oU, l oU, k un, ti oU, ni oU, m oU, r oU, s oU, c oU, f oU, k a, k @N, oU oU, mi oU, P oU, k oU u, k oU in, in k oU, y k oU, oU	1636162
K oU									0.000	0	0	0.0		0		0	0.000		38	35	2	1	i oU, Ji oU, t oU, K an, z oU, K @, S oU, K aI, k oU, x oU, T oU, Qi oU, li oU, K u, Z oU, K aU, C oU, Xi oU, l oU, K oN, ti oU, K a, ni oU, m oU, r oU, K @n, s oU, K un, K aN, K @N, c oU, f oU, oU oU, mi oU, P oU, K oU in, K oU u, oU	1401440
k u									0.000	0	0	0.0		0		0	0.000		41	32	8	1	p u, k @, k eI, k @n, C u, k aI, Z u, k aU, k oU, S u, f u, k an, t u, k aN, l u, K u, r u, z u, T u, k oN, x u, k un, m u, s u, P u, i u, n u, c u, k a, iN u, k @N, u u, k u i, u k u, k oU u, k u @r, k u u, k oN u, k @ u, i k u, u	1425909
K u									0.000	0	0	0.0		0		0	0.000		36	31	4	1	p u, K an, K @, C u, Z u, K aI, S u, f u, t u, l u, r u, K aU, z u, k u, T u, K oU, x u, K oN, K a, m u, K @n, s u, P u, K un, i u, K aN, n u, c u, K @N, iN u, u u, K @ u, i K u, K an u, K oU u, u	1137577
ku a									0.000	0	0	0.0		0		0	0.000		33	32	0	1	T a, p a, m a, n a, ku o, t a, Xi a, xu a, Ji a, S a, l a, ku an, i a, C a, u a, f a, Zu a, P a, ku eI, ku aI, x a, ku aN, z a, K a, Z a, s a, Su a, c a, Ku a, Qi a, a a, k a, a	2223088
Ku a									0.000	0	0	0.0		0		0	0.000		33	32	0	1	T a, p a, m a, n a, t a, Ku aI, Xi a, xu a, Ji a, S a, l a, i a, C a, u a, f a, Zu a, P a, x a, ku a, z a, K a, Z a, s a, Su a, Ku aN, c a, Ku an, Qi a, Ku eI, a a, k a, Ku o, a	2143012
