Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
c i a									0.000	0	0	0.0		0		0	0.000		8	6	0	2	X i a, J i a, Q i a, u i a, a i a, i i a, i a, c a	120243
C i a									0.000	0	0	0.0		0		0	0.000		8	6	0	2	X i a, J i a, Q i a, u i a, a i a, i i a, i a, C a	131768
c i a n									0.000	0	0	0.0		0		0	0.000		7	5	0	2	T i a n, c 1 a n, c u a n, l i a n, X i a n, c a n, i a n	3229
c i a N									0.000	0	0	0.0		0		0	0.000		9	7	0	2	X i a N, l i a N, J i a N, i i a N, Q i a N, n i a N, u i a N, i a N, c a N	446158
C i a n									0.000	0	0	0.0		0		0	0.000		7	5	0	2	C u a n, T i a n, l i a n, C a a n, X i a n, C a n, i a n	23201
C i a N									0.000	0	0	0.0		0		0	0.000		10	8	0	2	X i a N, l i a N, J i a N, i i a N, Q i a N, C u a N, n i a N, u i a N, C a N, i a N	471010
c i a r									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
C i a r									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
c i a U									0.000	0	0	0.0		0		0	0.000		14	11	1	2	l i a U, J i a U, X i a U, T i a U, t i a U, Q i a U, m i a U, P i a U, n i a U, p i a U, i i a U, c 1 i a U, i a U, c a U	1403903
C i a U									0.000	0	0	0.0		0		0	0.000		14	11	1	2	l i a U, J i a U, X i a U, T i a U, t i a U, Q i a U, m i a U, P i a U, n i a U, p i a U, i i a U, C 1 i a U, i a U, C a U	1406742
c i E									0.000	0	0	0.0		0		0	0.000		13	11	1	1	p i E, X i E, J i E, Q i E, T i E, l i E, t i E, u i E, m i E, n i E, P i E, c u i E, i E	297361
